,Location Type,Name,Latitude,Longitude,UTM Grid,Map,Notes,References,Links
0,Fire (Support)(Support Patrol) Base,0,11.5446,106.0809,XT183761,6232-3,See FSB Maria. 1st ACD Nov66. Op Attleboro.,,
1,Fire (Support)(Support Patrol) Base,0,11.5482,106.0829,XT185765,6232-3,B/1/8th Arty (105mm)(T) 24Nov66. Op Attleboro. Near Sok Ky hamlet.,"658, AD387619",
2,Fire (Support)(Support Patrol) Base,0,11.5528,106.0899,XT192770,6232-3,See FSB Sandra.,,
3,Fire (Support)(Support Patrol) Base,1,12.7423,108.0726,AQ826101,6634-3,"A/4/42nd Arty (105mm)(T) 13Nov68. Buon Sut Mgru ville, BMT District Hq. Not named in report.",AD501718,
4,Landing Zone,1,13.2095,108.0679,AQ827618,6635-3,5Mar66.,,
5,Landing Zone,1,16.1182,108.0701,AT871839,6641-3,E-/2/3rd Marines 12Aug65.,2/3 Marines CC,
6,Observation Post,1,16.0486,108.1281,AT932761,6641-3,"Hill 364. aka OP Jones, OP/LZ Eagle. USMC.",,
7,Observation Post,1,16.0545,108.1326,AT937767,6641-3,aka LZ Newark. USMC.,,
8,Observation Post,1,16.0731,108.1371,AT942788,6641-3,7th EBn USMC. Camp Love.,,
9,Observation Post,1,16.0614,108.1438,AT949775,6641-3,7th EBn OP 18Oct67. Da Nang.,11 Marines CC,
10,Landing Zone,1,12.4431,109.0695,BP907760,6833-4,16Apr67.,,
11,Artillery Position,1,13.2124,109.0603,BQ903611,6835-3,"A/1/21st Arty (105mm)(T) 23-27Jun66. Battle of Dong Tre. Op Nathan Hale. 1st ACD AAR has 1-/7th Cav CA’ing into LZ 1 atBQ835___ on 27Jun66 in the Ky Lô Valley area. Barely legible report.",183,
12,Landing Zone,1,13.2133,109.0612,BQ904612,6835-3,1/7th Cav 29Jun66. Op Nathan Hale.,1 ACD AAR,
13,Artillery Position,1,14.3687,108.7003,BR525894,6737-4,"A/1/7th Cav 13Mar, C/1/21st Arty (105mm)(T) 14Mar66. Op Jim Bowie.",AD829472,
14,Landing Zone,1,13.9854,108.7735,BR600469,6736-1,14Dec65.,,
15,Landing Zone,1,14.2599,108.8876,BR726772,6737-1,aka LZ Castro. Oct66-Jan67.,,
16,Landing Zone,1,14.0541,108.907,BR745544,6737-2,28Dec65.,,
17,Position,1,13.6759,109.0464,BR892124,6836-3,Base Camp 1. 538th ECo (LC) 14Jun69. LTL-6B northeast of Van Canh.,AD860344,
18,Landing Zone,1,14.2819,109.1108,BR967794,6837-4,C/2/5th Cav 16Mar67. Op Pershing.,672,
19,Observation Post,1,15.1663,108.6826,BS515777,6739-3,198th LIB 30Mar71.,198 LIB DSJ,
20,Observation Post,1,15.1654,108.6836,BS516776,6739-3,"Hill 177. aka OPs N-24, Nui Tron, Son Trung. OP and radio relay. 23rd ID Arty TPS-25 GSR Jul69.",AD506484,
21,Observation Post,1,15.1674,108.6843,BS516778,6739-3,"Hill 177. 1/52nd Inf, 3/18th Arty (175mm/8"")(SP).","AD388844, AD515335, AD519973",
22,Observation Post,1,15.1672,108.6845,BS517778,6739-3,"Hill 177, Nui Tron. Target Mission Force site. MB-/3/11th Marines (4.2"") Jul66.","206, AD519973, 3/11 Marines CC",
23,Observation Post,1,15.1672,108.6854,BS518778,6739-3,"Hill 177. 251st FA (CBR) Aug70, 198th LIB 2Mar71.","AD515335, 198 LIB DSJ",
24,Landing Zone,1,14.8529,108.6897,BS519430,6738-4,C-/4/3rd Inf 3Jan71. Song Ne Valley.,4/3 Inf OPORD 1-71,
25,Observation Post,1,15.1672,108.6863,BS519778,6739-3,"aka Hill 177, OP N-24, OP Nui Tron, OP Son Trung.","1, AD512565, AD506484",
26,Landing Zone,1,15.208,108.6895,BS523823,6739-3,21Apr66.,,
27,Observation Post,1,15.3646,108.7223,BS560996,6739-4,"3/3rd Marines OP Jun65 (no name). 1/7th Marines Sep65 (559996), Op Zipper, Hardrock.","1/7, 3/3, 3/11 Marines CC",
28,Observation Post,1,15.3349,108.7348,BS573963,6739-4,"D/1/7th Marines 16Nov65. Site of Gator. See OP 1 at 560996, same period.",537,
29,Observation Post,1,14.5528,108.9758,BS824095,6738-2,4-/60th Arty (SLT) 4Mar70. North of Bong Son.,430,
30,Observation Post,1,14.8122,109.0035,BS857382,6838-4,4/3rd Inf.,,
31,Landing Zone,1,15.553,108.287,BT095210,6640-2,ARVN.,HMM-364 AAR Jun64,
32,Observation Post,1,15.5131,108.3901,BT205165,6640-2,Maybe aka OP Cag Xanh. B/5/46th Inf 26Aug68. Op Burlington Trail. Grid from narrative/map.,119,
33,Observation Post,1,15.4922,108.42,BT237141,6639-1,At or near FSB Bowman.,,
34,Observation Post,1,15.40503,108.71517,BT55280409,6739-4,CLCB. 3/12th Marines Jun65. Elev. 15.0m.,3/12 Marines CC,
35,Observation Post,1,15.3818,108.7268,BT565015,6739-4,CLCB. 3/12th Marines OP 9Jun65.,3/12 Marines CC,
36,Observation Post,1,15.375,108.7725,BT614007,6739-1,1/7th Marines 11May66. Overlooks the mouth of the Song Tra Bong. Chu Lai. Maybe Lantry Hill.,151,
37,Landing Zone,1,16.8105,106.7379,XD857591,6342-4,Became FSB Shrapnel 3Oct69.,AD508206,
38,Position,1,10.534,105.9686,XS064643,6130-2,Obj 1. B-/2/60th Inf CA 18Nov67. Op Kien Giang 9-1.,AD389693,
39,Checkpoint,1,10.4833,106.0169,XS117587,6229-4,ARVN 3/11 Rgt 18Nov67. Op Kien Giang.,AD389693,
40,Landing Zone,1,10.6385,106.3291,XS458760,6230-2,ARVN 25 ID 18Apr66.,"392, AD391696",
41,Landing Zone,1,10.6794,106.5049,XS650806,6330-3,4/23rd Inf (M) 2Dec66. Op Lanikai. Grid from map.,343,A
42,Landing Zone,1,10.6602,106.5241,XS671785,6330-3,4/23rd Inf (M) 17Nov66. Op Lanikai. Grid from map.,343,A
43,Landing Zone,1,10.5943,106.5389,XS688712,6330-3,4/23rd Inf (M) 20Nov66. Op Lanikai. Grid from map.,343,A
44,Landing Zone,1,10.6882,106.5396,XS688816,6330-3,C-/4/9th Inf CA 27Dec66. Op Fairfax.,AD394027,
45,Landing Zone,1,10.6276,106.5463,XS697749,6330-3,4/23rd Inf (M) Nov66. Op Lanikai. Grid from map.,343,A
46,Landing Zone,1,10.7004,106.6265,XS783830,6330-3,A-/4/9th Inf CA 10Dec66. Op Fairfax. LZs 1 and 3 this immediate vic.,AD394027,
47,Position,1,10.4292,106.7958,XS970531,6329-1,Obj 1. C/3/47th Inf (Riv) 14Aug67. Op Tiger Coronado III. RSSZ.,2,
48,Artillery Position,1,11.5668,105.9408,XT030785,6132-2,Objective 1. 2/22nd Inf (M) followed by 2/12th Inf and 4/23rd Inf (M) 3Feb67. Op Gadsden.,575,
49,Artillery Position,1,11.5668,105.9454,XT035785,6132-2,Objective 1. A/2/77th Arty (105mm)(T) 3Feb67. Op Gadsden. Also (unnamed) 5/2nd Arty (AW)(SP) May-Jul70.,,
50,Artillery Position,1,11.5713,105.9454,XT035790,6132-2,"Objective 1. CP,B,C/2/77th Arty (105mm)(T) 12-18Feb. Op Gadsden. Also 036794.",575,
51,Landing Zone,1,11.5668,105.9472,XT037785,6132-2,Objective 1. 4/9th Inf CA 12Feb67. Op Gadsden.,577,
52,Landing Zone,1,11.3704,105.9952,XT090568,6131-1,3/22nd Inf 31Aug67.,269 CAB OPORD 27-67,
53,Artillery Position,1,11.7289,106.1377,XT244965,6232-3,"1/26th Inf, B/1/5th Arty (105mm)(T) 22Feb67. Op Junction City I.",AD390548,
54,Artillery Position,1,11.7298,106.1377,XT244966,6232-3,1/26th Inf LZ 22Feb67. Op Junction City I.,AD390548,
55,Artillery Position,1,11.7289,106.1386,XT245965,6232-3,B/1/5th Arty (105mm)(T) 25Feb67. Op Junction City I.,AD390548,
56,Fire (Support)(Support Patrol) Base,1,11.471,106.1604,XT270680,6231-4,Mar67. Also 2778.,,
57,Fire (Support)(Support Patrol) Base,1,11.5705,106.1618,XT271790,6232-3,A/1/8th Arty (105mm)(T) Nov66. 2/25th ID Nov69.,,
0,Fire (Support)(Support Patrol) Base,1,11.566,106.1637,XT273785,6232-3,"A/1/8th Arty (105mm)(T) 12-24Nov, A/2/77th Arty (105mm)(T) 22-24Nov66. Op Attleboro. Prek Klok AF.",AD387618,
1,Fire (Support)(Support Patrol) Base,1,11.5705,106.1655,XT275790,6232-3,1/5th Inf (M) 12Nov66. Op Attleboro.,AD387619,
2,Fire (Support)(Support Patrol) Base,1,11.566,106.1664,XT276785,6232-3,"Also FSBs Me Linh, Cayala. A/2/77th Arty (105mm)(T) 22Nov66. Op Attleboro.","658, AD387619",
3,Landing Zone,1 (North),11.0131,106.2694,XT391174,6231-2,A-/2/27th Inf Sep67.,269 CAB OPORD 35-67,
4,Landing Zone,1 (South),11.0122,106.2703,XT392173,6231-2,A-/2/27th Inf Sep67.,269 CAB OPORD 35-67,
5,Landing Zone,1,11.3376,106.2882,XT410533,6231-1,C/1/27th Inf 3Nov66. Op Attleboro.,AD387619,
6,Landing Zone,1,11.3385,106.2882,XT410534,6231-1,A/1/27th Inf 3Nov66. Rescue of Charlie. Op Attleboro.,AD387619,
7,Landing Zone,1,10.9325,106.3735,XT505085,6230-1,2/27th Inf Jun66.,,
8,Landing Zone,1,11.2185,106.4425,XT579402,6230-1,2/12th Inf 21Sep67.,269 CAB OPORD 34-67,
9,Landing Zone,1,11.1443,106.443,XT580320,6231-2,3/22nd Inf 17Sep67.,269 CAB OPORD 32-67,
10,Fire (Support)(Support Patrol) Base,1,11.05165,106.44761,XT58552175,6231-2,"196th LIB CP (fwd), A/2/32nd Arty (175mm/8"")(SP), A/3/13th Arty (155mm)(T)/(8"")(SP) 6Jan67. Op Cedar Falls.",579,
11,Landing Zone,1,11.1178,106.4781,XT619291,6231-2,2/14th Inf 15Jan70.,,
12,Landing Zone,1,11.0673,106.4942,XT636235,6231-2,2/27th Inf 1Aug66. Op Kokohead.,,
13,Landing Zone,1,11.2067,106.4953,XT637389,6231-2,1/2nd Inf 9Jan67. Op Cedar Falls. Also 638388.,"710, AD391115",
14,Fire (Support)(Support Patrol) Base,1,11.14,106.52,XT6732,6231-2,2/11th ACR Mar68. Op Alcorn Cove. vic Mushroom. Grid from overlay.,,
15,Fire (Support)(Support Patrol) Base,1,11.6926,106.5504,XT694927,6332-3,"ARVN 7/5 ID Hq, arty (2X 155mm/4X 105mm)(T) 4Apr72.",711,
16,Landing Zone,1,11.5408,106.5611,XT707759,6332-3,1/18th Inf 17Mar67. Op Junction City I.,AD390548,
